datetime_str,x,y,z,vx,vy,vz,r_au,speed_au_per_day
A.D. 2025-Nov-23 00:00:00.0000,-1.506042113606949,0.6092751271273319,0.03786501388888465,-0.006286177222276298,0.03795871427229586,-0.002233024358719539,1.625057779825234,0.03854045161985388
A.D. 2025-Nov-28 00:00:00.0000,-1.536244617743405,0.7985255692671965,0.02667216883117255,-0.005808408819398302,0.03773856519856519,-0.002243205621078458,1.731589447562337,0.03824877629046526
A.D. 2025-Dec-03 00:00:00.0000,-1.564254515316192,0.9866446793297937,0.01544077405507189,-0.005407541752789666,0.03750856239248498,-0.002248688516544676,1.8494859635694199,0.03796301306012922
A.D. 2025-Dec-08 00:00:00.0000,-1.590430932580597,1.173614340045299,0.004190887427553198,-0.005073206852649497,0.03728029495555837,-0.002250799167222481,1.9765775304820654,0.03769116496785911
A.D. 2025-Dec-13 00:00:00.0000,-1.615079578345505,1.359462400379197,-0.007063337309517742,-0.004794702187045989,0.0370607831797504,-0.00225057263221204,2.1110826495349277,0.037437359630879366
A.D. 2025-Dec-18 00:00:00.0000,-1.638454614358065,1.544243170280476,-0.01831223524870152,-0.004562241256031392,0.03685380080542719,-0.002248776696996553,2.251567416318893,0.03720314067007375
A.D. 2025-Dec-23 00:00:00.0000,-1.660764649338709,1.728024105358251,-0.02954941655479016,-0.00436742404276782,0.03666099407479425,-0.002245962701391384,2.3968895880309207,0.03698847425587445
A.D. 2025-Dec-28 00:00:00.0000,-1.68217992017667,1.910877342286778,-0.04077081785516496,-0.004203289714399676,0.03648270176560523,-0.002242518124697715,2.54614291835693,0.03679244569311574
A.D. 2026-Jan-02 00:00:00.0000,-1.702839193863919,2.092874643698839,-0.05197399836426838,-0.004064180612431249,0.03631850910788768,-0.002238711088043525,2.698608324841275,0.03661370638443903
A.D. 2026-Jan-07 00:00:00.0000,-1.722855796034871,2.27408458641395,-0.06315763307554703,-0.003945543355392307,0.03616760261035451,-0.00223472469006821,2.8537136658593063,0.036450744647952026
A.D. 2026-Jan-12 00:00:00.0000,-1.742322623351862,2.454571159443334,-0.07432115408814888,-0.003843727689312397,0.03602898841769659,-0.002230682212293558,3.011001716133636,0.03630204115589569
