targetname,datetime_jd,datetime_str,M1,x,k1,y,z,vx,vy,vz,lighttime,range,range_rate,r_au,speed_au_per_day
ATLAS (C/2025 N1),2460978.5,A.D. 2025-Oct-30 00:00:00.0000,12.5,-1.317919208541918,4.5,-0.3087120192354079,0.08997556058148792,-0.00961997741626529,0.03821731231837763,-0.002075694886551694,0.007834953629104002,1.356580168130919,0.0005111732961721675,1.3565801681309186,0.03946410312666347
ATLAS (C/2025 N1),2460979.5,A.D. 2025-Oct-31 00:00:00.0000,12.5,-1.327460946003022,4.5,-0.2704771758083062,0.0878945796547474,-0.009463367192939132,0.03825160742655017,-0.00208622200070695,0.00784075469436758,1.3575845914451,0.001497288659905358,1.3575845914451006,0.03946001915330932
ATLAS (C/2025 N1),2460980.5,A.D. 2025-Nov-01 00:00:00.0000,12.5,-1.33684574308816,4.5,-0.2322103468018306,0.0858032102539547,-0.009306157499144803,0.03828127631116755,-0.002096468160568776,0.007852242256211128,1.359573601120824,0.002479972314742763,1.3595736011208241,0.03945194370571779
ATLAS (C/2025 N1),2460981.5,A.D. 2025-Nov-02 00:00:00.0000,12.5,-1.346073182867962,4.5,-0.1939161747633313,0.08370174400821483,-0.009148713317228916,0.03830629149398704,-0.002106412370800893,0.007869390063782976,1.36254265196402,0.003457005725552585,1.3625426519640202,0.03943992769337957
ATLAS (C/2025 N1),2460982.5,A.D. 2025-Nov-03 00:00:00.0000,12.5,-1.355143212418335,4.5,-0.1555993142622227,0.08159049244709488,-0.008991397001972231,0.03832665633862658,-0.002116035856356217,0.007892159222068526,1.366485009511673,0.004426232796898888,1.3664850095116732,0.03942404613800624
ATLAS (C/2025 N1),2460983.5,A.D. 2025-Nov-04 00:00:00.0000,12.5,-1.364056138198081,4.5,-0.1172644013513118,0.07946978469623704,-0.00883456431969076,0.03834240435359716,-0.002125322223052751,0.007920498618517355,1.371391823900015,0.00538558241889284,1.371391823900015,0.03940439687249764
ATLAS (C/2025 N1),2460984.5,A.D. 2025-Nov-05 00:00:00.0000,12.5,-1.372812617567698,4.5,-0.07891602399040583,0.07733996503564482,-0.008678560707034697,0.03835359797174956,-0.00213425757131802,0.007954345474009115,1.377252225261315,0.006333088897852229,1.3772522252613149,0.03938109887630114
ATLAS (C/2025 N1),2460985.5,A.D. 2025-Nov-06 00:00:00.0000,12.5,-1.381413646713725,4.5,-0.0405586939318921,0.07520139036818944,-0.008523717836753384,0.03836032685662028,-0.002142830561956081,0.007993626004639352,1.384053438308536,0.007266909837695631,1.3840534383085366,0.039354290301371005
ATLAS (C/2025 N1),2460986.5,A.D. 2025-Nov-07 00:00:00.0000,12.5,-1.389860545323475,4.5,-0.002196820509868168,0.07305442764617251,-0.00837035056351649,0.0383627058009014,-0.002151032434502401,0.00803825617860572,1.39178091338613,0.008185341145951392,1.3917809133861299,0.039324126251665856
ATLAS (C/2025 N1),2460987.5,A.D. 2025-Nov-08 00:00:00.0000,12.5,-1.398154938419655,4.5,0.03616531329667218,0.0708994513023915,-0.008218754305618862,0.03836087229324085,-0.002158856980354004,0.008088142550923093,1.400418470996472,0.00908682895368789,1.4004184709964718,0.039290776384491126
ATLAS (C/2025 N1),2460988.5,A.D. 2025-Nov-09 00:00:00.0000,12.5,-1.406298735810781,4.5,0.07452357223589524,0.0687368407292359,-0.008069202899406021,0.03835498383597281,-0.002166300474282793,0.008143183157815643,1.40994845665905,0.009969978354796634,1.4099484566590497,0.039254422403525384
ATLAS (C/2025 N1),2460989.5,A.D. 2025-Nov-10 00:00:00.0000,12.5,-1.414294109640579,4.5,0.1128739873835579,0.06656697784514512,-0.00792194694425879,0.03834521509811023,-0.002173361569063458,0.008203268452411719,1.420351902921011,0.01083355898090608,1.4203519029210112,0.039215255511316945
ATLAS (C/2025 N1),2460990.5,A.D. 2025-Nov-11 00:00:00.0000,12.5,-1.422143470528404,4.5,0.1512127718484181,0.06439024478260605,-0.007777212638308124,0.03833175498559977,-0.002180041158733693,0.008268282263757417,1.431608695405215,0.01167650752853896,1.431608695405214,0.039173473884138554
ATLAS (C/2025 N1),2460991.5,A.D. 2025-Nov-12 00:00:00.0000,12.5,-1.429849442784918,4.5,0.1895363335386903,0.06220702172609547,-0.007635201089497739,0.03831480370530744,-0.002186342216460919,0.008338102762093229,1.443697739942701,0.01249792744074241,1.4436977399427005,0.03912928022518159
ATLAS (C/2025 N1),2460992.5,A.D. 2025-Nov-13 00:00:00.0000,12.5,-1.437414839165144,4.5,0.2278412850183049,0.06001768492229851,-0.00749608807361754,0.03829456989131165,-0.002192269613144768,0.008412603414711763,1.456597128074328,0.01329708601352648,1.4565971280743284,0.039082879443878005
ATLAS (C/2025 N1),2460993.5,A.D. 2025-Nov-14 00:00:00.0000,12.5,-1.444842635587269,4.5,0.2661244505456353,0.05782260487883468,-0.007360024200595187,0.03827126785252583,-0.002197829922782244,0.00849165391842707,1.470284298502829,0.0140734092466108,1.470284298502829,0.039034476500173554
